Name,City,State,Rank,Category
Indian Institute of Science,Bengaluru,Karnataka,1,University
Jawaharlal Nehru University,New Delhi,Delhi,2,University
Jamia Millia Islamia,New Delhi,Delhi,3,University
Jadavpur University,Kolkata,West Bengal,4,University
Banaras Hindu University,Varanasi,Uttar Pradesh,5,University
Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,6,University
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,7,University
Vellore Institute of Technology,Vellore,Tamil Nadu,8,University
Aligarh Muslim University,Aligarh,Uttar Pradesh,9,University
University of Hyderabad,Hyderabad,Telangana,10,University
University of Delhi,Delhi,Delhi,11,University
Calcutta University,Kolkata,West Bengal,12,University
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,13,University
Anna University,Chennai,Tamil Nadu,14,University
Siksha `O` Anusandhan,Bhubaneswar,Odisha,15,University
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,16,University
Homi Bhabha National Institute,Mumbai,Maharashtra,17,University
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,18,University
Savitribai Phule Pune University,Pune,Maharashtra,19,University
Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,20,University
Bharathiar University,Coimbatore,Tamil Nadu,21,University
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,22,University
Institute of Chemical Technology,Mumbai,Maharashtra,23,University
Kerala University,Thiruvananthapuram,Kerala,24,University
Panjab University,Chandigarh,Chandigarh,25,University
Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,26,University
Chandigarh University,Mohali,Punjab,27,University
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,28,University
Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,29,University
Alagappa University,Karaikudi,Tamil Nadu,30,University
"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,31,University
Symbiosis International,Pune,Maharashtra,32,University
University of Kashmir,Srinagar,Jammu and Kashmir,33,University
JSS Academy of Higher Education and Research,Mysuru,Karnataka,34,University
Amity University,Gautam Budh Nagar,Uttar Pradesh,35,University
Osmania University,Hyderabad,Telangana,36,University
Cochin University of Science and Technology,Cochin,Kerala,37,University
Lovely Professional University,Phagwara,Punjab,38,University
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,39,University
Delhi Technological University,New Delhi,Delhi,40,University
Bharathidasan University,Tiruchirappalli,Tamil Nadu,41,University
Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,42,University
"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,43,University
Mysore University,Mysuru,Karnataka,44,University
King George`s Medical University,Lucknow,Uttar Pradesh,45,University
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,46,University
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,47,University
Guru Nanak Dev University,Amritsar,Punjab,48,University
Jamia Hamdard,New Delhi,Delhi,49,University
University of Madras,Chennai,Tamil Nadu,50,University
