Name,City,State,Rank,Category
Indian Institute of Technology Madras,Chennai,Tamil Nadu,1,Overall
"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,2,Overall
Indian Institute of Technology Bombay,Mumbai,Maharashtra,3,Overall
Indian Institute of Technology Delhi,New Delhi,Delhi,4,Overall
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,Overall
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,6,Overall
All India Institute of Medical Sciences Delhi,New Delhi,Delhi,7,Overall
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,8,Overall
Indian Institute of Technology Guwahati,Guwahati,Assam,9,Overall
Jawaharlal Nehru University,New Delhi,Delhi,10,Overall
Banaras Hindu University,Varanasi,Uttar Pradesh,11,Overall
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,12,Overall
Jamia Millia Islamia,New Delhi,Delhi,13,Overall
"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,14,Overall
University of Delhi,Delhi,Delhi,15,Overall
Aligarh Muslim University,Aligarh,Uttar Pradesh,16,Overall
Jadavpur University,Kolkata,West Bengal,17,Overall
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,18,Overall
Vellore Institute of Technology,Vellore,Tamil Nadu,19,Overall
Anna University,Chennai,Tamil Nadu,20,Overall
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,21,Overall
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,22,Overall
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,23,Overall
Siksha `O` Anusandhan,Bhubaneswar,Odisha,24,Overall
University of Hyderabad,Hyderabad,Telangana,25,Overall
Calcutta University,Kolkata,West Bengal,26,Overall
Homi Bhabha National Institute,Mumbai,Maharashtra,27,Overall
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,28,Overall
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,29,Overall
Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,30,Overall
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,31,Overall
Chandigarh University,Mohali,Punjab,32,Overall
Indian Institute of Technology Indore,Indore,Madhya Pradesh,33,Overall
National Institute of Technology Rourkela,Rourkela,Odisha,34,Overall
Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,35,Overall
JSS Academy of Higher Education and Research,Mysuru,Karnataka,36,Overall
Savitribai Phule Pune University,Pune,Maharashtra,37,Overall
Kerala University,Thiruvananthapuram,Kerala,38,Overall
Jawaharlal Institute of Post Graduate Medical Education and Research,Puducherry,Pondicherry,39,Overall
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,40,Overall
Andhra University,Visakhapatnam,Andhra Pradesh,41,Overall
Indian Institute of Science Education and Research Pune,Pune,Maharashtra,42,Overall
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,43,Overall
Bharathiar University,Coimbatore,Tamil Nadu,44,Overall
Lovely Professional University,Phagwara,Punjab,45,Overall
"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,46,Overall
Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,47,Overall
Indian Institute of Technology Ropar,Rupnagar,Punjab,48,Overall
Amity University,Gautam Budh Nagar,Uttar Pradesh,49,Overall
Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,50,Overall
Cochin University of Science and Technology,Cochin,Kerala,51,Overall
Symbiosis International,Pune,Maharashtra,52,Overall
National Institute of Technology Warangal,Warangal,Telangana,53,Overall
National Institute of Technology Calicut,Kozhikode,Kerala,54,Overall
Bharathidasan University,Tiruchirappalli,Tamil Nadu,55,Overall
Institute of Chemical Technology,Mumbai,Maharashtra,56,Overall
Gauhati University,Guwahati,Assam,57,Overall
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,58,Overall
UPES,Dehradun,Uttarakhand,59,Overall
Panjab University,Chandigarh,Chandigarh,60,Overall
Indian Institute of Science Education and Research Kolkata,Mohanpur,West Bengal,61,Overall
Jamia Hamdard,New Delhi,Delhi,62,Overall
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,63,Overall
Indian Institute of Science Education and Research Mohali,Mohali,Punjab,64,Overall
University of Madras,Chennai,Tamil Nadu,64,Overall
Delhi Technological University,New Delhi,Delhi,66,Overall
Mahatma Gandhi University,Kottayam,Kerala,67,Overall
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,68,Overall
University of Kashmir,Srinagar,Jammu and Kashmir,69,Overall
Osmania University,Hyderabad,Telangana,70,Overall
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,71,Overall
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,72,Overall
Indian Institute of Technology Patna,Patna,Bihar,73,Overall
All India Institute of Medical Sciences Rishikesh,Rishikesh,Uttarakhand,74,Overall
"Indian Statistical Institute, Kolkata",Kolkata,West Bengal,75,Overall
Alagappa University,Karaikudi,Tamil Nadu,76,Overall
Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,77,Overall
Indian Institute of Science Education and Research Bhopal,Bhopal,Madhya Pradesh,78,Overall
Graphic Era University,Dehradun,Uttarakhand,79,Overall
Punjab Agricultural University,Ludhiana,Punjab,80,Overall
Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,81,Overall
Malaviya National Institute of Technology,Jaipur,Rajasthan,82,Overall
All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,83,Overall
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,84,Overall
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,85,Overall
Mysore University,Mysuru,Karnataka,86,Overall
University of Jammu,Jammu,Jammu and Kashmir,87,Overall
King George`s Medical University,Lucknow,Uttar Pradesh,88,Overall
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,89,Overall
Christ University,Bengaluru,Karnataka,90,Overall
Bharath Institute of Higher Education and Research,Chennai,Tamil Nadu,91,Overall
National Institute of Technology Silchar,Silchar,Assam,92,Overall
National Institute of Technology Durgapur,Durgapur,West Bengal,93,Overall
Gujarat University,Ahmedabad,Gujarat,94,Overall
Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,95,Overall
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,96,Overall
Acharya Nagarjuna University,Guntur,Andhra Pradesh,97,Overall
Tata Institute of Social Sciences,Mumbai,Maharashtra,98,Overall
All India Institute of Medical Sciences Patna,Patna,Bihar,99,Overall
Periyar University,Salem,Tamil Nadu,100,Overall
Ashoka University,Sonepat,Haryana,101-150,Overall
"Assam University, Silchar",Silchar,Assam,101-150,Overall
Banasthali Vidyapith,Banasthali,Rajasthan,101-150,Overall
Bangalore University,Bengaluru,Karnataka,101-150,Overall
